CODE, URL,,,CODE, URL,CRN,Type,Section,Time,Day,Location,Instructor
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,30107,Discussion/ Recitation,AD1,090009:00AM - 09:50AM,F,103 Bevier Hall,"Boonsripaisal, S
Espiritu, A"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/201,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,41729,Discussion/ Recitation,AD2,100010:00AM - 10:50AM,F,103 Bevier Hall,"Boonsripaisal, S
Espiritu, A"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/215,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,43832,Discussion/ Recitation,AD3,110011:00AM - 11:50AM,F,103 Bevier Hall,"Espiritu, A
Uhall, M"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/258,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,48232,Discussion/ Recitation,AD4,120012:00PM - 12:50PM,F,106 David Kinley Hall,"Espiritu, A
Uhall, M"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/260,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,48234,Discussion/ Recitation,AD5,130001:00PM - 01:50PM,F,106 David Kinley Hall,"Espiritu, A
Kang, Y"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/265,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,50105,Discussion/ Recitation,AD6,140002:00PM - 02:50PM,F,106 David Kinley Hall,"Espiritu, A
Kang, Y"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/281,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,54572,Discussion/ Recitation,AD7,100010:00AM - 10:50AM,F,137 Henry Administration Bldg,"Espiritu, A
Park, D"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/297,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,51886,Discussion/ Recitation,AD8,110011:00AM - 11:50AM,F,137 Henry Administration Bldg,"Espiritu, A
Park, D"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/300,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,30106,Lecture,AL1,120012:00PM - 12:50PM,MW,141 Wohlers Hall,"Espiritu, A"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/310,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,70761,Lecture-Discussion,LD1,123012:30PM - 01:50PM,TR,219 David Kinley Hall,"Thomas, M"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/355,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,70762,Lecture-Discussion,LD2,093009:30AM - 10:50AM,TR,219 David Kinley Hall,"Lee, S"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/357,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/201,66639,Online,OL1,0000ARRANGED,n.a,n.a,
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/465,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/201,66638,Online,OL2,0000ARRANGED,n.a,n.a,
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/479,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/215,52317,Lecture-Discussion,A,150003:00PM - 04:20PM,MW,313 Gregory Hall,"Compoc, K"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/561,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/258,51119,Lecture-Discussion,A,140002:00PM - 03:20PM,TR,103 Bevier Hall,"Rana, J"
AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/590,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/260,40136,Lecture-Discussion,A,130001:00PM - 02:50PM,TR,n.a,"Bright, L"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/141,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/265,60383,Lecture-Discussion,A,130001:00PM - 02:20PM,MW,103 1207 W Oregon,"Coyoca, W"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/199,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/281,54523,Discussion/ Recitation,AD1,110011:00AM - 11:50AM,T,307 Gregory Hall,"Burgos, A
Kelley, K"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/225,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/281,54527,Discussion/ Recitation,AD2,150003:00PM - 03:50PM,W,307 Gregory Hall,"Burgos, A
Kelley, K"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/226,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/281,54531,Discussion/ Recitation,AD3,110011:00AM - 11:50AM,R,307 Gregory Hall,"Burgos, A
Kelley, K"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/397,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/281,54519,Lecture,AL1,093009:30AM - 10:50AM,TR,132 Bevier Hall,"Burgos, A"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/425,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/297,62166,Lecture-Discussion,A,153003:30PM - 04:45PM,MW,205 Gregory Hall,"Balgopal, A"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/440,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/300,69047,Lecture-Discussion,A,110011:00AM - 12:20PM,TR,221 Gregory Hall,"Desai, R"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/446,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/310,33071,Discussion/ Recitation,D1,140002:00PM - 03:50PM,R,22 Education Building,"Anderson, J"
