CLASS,CODE, URL,CRN,TYPE,SECTION,TIME,DAY,LOCATION,INSTRUCTOR
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,30107,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,103 Bevier Hall,"Boonsripaisal, S
Espiritu, A"
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,41729,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,103 Bevier Hall,"Boonsripaisal, S
Espiritu, A"
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,43832,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,103 Bevier Hall,"Espiritu, A
Uhall, M"
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,48232,Discussion/ Recitation,AD4,12:00PM - 12:50PM,F,106 David Kinley Hall,"Espiritu, A
Uhall, M"
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,48234,Discussion/ Recitation,AD5,01:00PM - 01:50PM,F,106 David Kinley Hall,"Espiritu, A
Kang, Y"
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,50105,Discussion/ Recitation,AD6,02:00PM - 02:50PM,F,106 David Kinley Hall,"Espiritu, A
Kang, Y"
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,54572,Discussion/ Recitation,AD7,10:00AM - 10:50AM,F,137 Henry Administration Bldg,"Espiritu, A
Park, D"
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,51886,Discussion/ Recitation,AD8,11:00AM - 11:50AM,F,137 Henry Administration Bldg,"Espiritu, A
Park, D"
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,30106,Lecture,AL1,12:00PM - 12:50PM,MW,141 Wohlers Hall,"Espiritu, A"
AAS100,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/100,70761,Lecture-Discussion,LD1,12:30PM - 01:50PM,TR,219 David Kinley Hall,"Thomas, M"
